waveMin,waveMax,spectroFlux_r,spectroSynFlux_r,sn1_r,sn2_r,elodieBV,elodieTEff,elodieLogG,z
3601.637,10334.75,4.555898,4.46486,43.6117,35.8951,0,0,0,2.469952
3601.637,10334.75,3.316776,3.293223,53.9475,58.1222,0,0,0,2.461543
3601.637,10339.51,7.265506,6.756321,29.4036,31.1984,0,0,0,2.877198
3601.637,10339.51,18.69113,18.74985,29.4036,31.1984,0,0,0,0.822904
3601.637,10308.61,25.09303,24.32059,35.8641,35.0704,0,0,0,2.44174
3601.637,10308.61,2.304253,2.324152,35.8641,35.0704,0,0,0,2.31996
3804.521,9215.099,41.66145,41.51542,22.776,26.3386,0,0,0,0.7867203
3804.521,9212.978,41.34953,40.89508,22.776,26.3386,0,0,0,0.7864704
3817.684,9236.342,132.9004,132.3065,30.8119,18.7228,0,0,0,1.259938
3817.684,9238.469,6.927038,6.872406,30.8119,18.7228,0,0,0,2.011509
3601.637,10358.57,9.371294,9.680087,27.34,36.7115,0,0,0,2.215594
3601.637,10351.42,1.295432,1.328002,53.9475,58.1222,0,0,0,2.396711
3601.637,10358.57,2.58531,2.823038,29.4036,31.1984,0,0,0,2.420306
3601.637,10358.57,40.28067,40.23642,29.4036,31.1984,0,0,0,2.933359
3601.637,10358.57,1.778057,1.729485,29.4036,31.1984,0,0,0,2.6438
3601.637,10353.81,2.893531,2.797079,29.4036,31.1984,0,0,0,2.400242
3601.637,10358.57,5.101254,4.872714,51.3013,55.7669,0,0,0,0.6629705
3811.536,9204.496,7.25207,7.265575,16.4707,15.4772,0,0,0,2.039618
3601.637,10327.61,1.894335,1.823801,42.5495,49.2993,0,0,0,3.740982
3601.637,10282.53,7.511753,7.555773,59.9728,55.4509,0,0,0,2.495023
3601.637,10282.53,3.873333,3.854224,59.9728,55.4509,0,0,0,2.281281
3601.637,10353.81,5.461043,5.373501,35.8412,40.8335,0,0,0,2.671521
3601.637,10353.81,3.196871,3.440222,35.8412,40.8335,0,0,0,2.29275
3601.637,10353.81,52.96565,52.09721,35.8412,40.8335,0,0,0,2.232774
3601.637,10356.19,30.41593,30.48092,35.8412,40.8335,0,0,0,2.21907
3805.397,9208.735,18.80978,18.68615,16.6686,16.7605,0,0,0,1.787041
3601.637,10358.57,5.48879,5.528703,51.3013,55.7669,0,0,0,2.456185
3806.274,9196.021,33.08518,33.12575,19.7189,19.6997,0,0,0,1.587697
3806.274,9200.258,12.82799,12.80245,19.7189,19.6997,0,0,0,1.818328
3815.048,9183.326,26.30712,26.18575,20.7818,18.4908,0,0,0,2.006084
3601.637,10353.81,7.67408,7.661636,44.0836,48.5019,0,0,0,2.674242
3601.637,10277.8,4.550857,4.512508,43.7804,42.4795,0,0,0,3.255719
3601.637,10289.64,4.404104,4.422382,42.3292,45.4002,0,0,0,2.280484
3601.637,10353.81,9.143501,8.810769,35.8412,40.8335,0,0,0,1.21353
3601.637,10358.57,3.930483,4.275642,51.3013,55.7669,0,0,0,3.10133
3601.637,10358.57,1.428533,1.525675,51.3013,55.7669,0,0,0,2.736749
3601.637,10327.61,2.166216,2.21535,42.5495,49.2993,0,0,0,2.416688
3601.637,10327.61,0.4999724,0.6877113,42.5495,49.2993,0,0,0,2.314705
3601.637,10292,26.08544,25.30371,33.4604,36.3153,0,0,0,1.123063
3601.637,10287.27,1.529688,1.420384,42.3292,45.4002,0,0,0,3.128792
3601.637,10372.9,13.85044,14.0506,53.2911,53.2363,0,0,0,2.395145
3601.637,10372.9,9.490818,9.235215,53.2911,53.2363,0,0,0,2.16882
3601.637,10261.24,5.408174,5.392809,41.3917,43.4725,0,0,0,2.177803
3601.637,10380.06,7.669314,7.564169,44.786,38.6285,0,0,0,2.683076
3821.202,9189.672,9.715883,9.722905,17.7387,19.6849,0,0,0,1.504724
3601.637,10353.81,21.6099,20.58707,52.1487,65.0111,0,0,0,2.386933
3823.843,9210.856,15.18042,15.55956,25.6119,23.6013,0,0,0,0.6524171
3807.15,9185.44,20.71704,20.66967,20.364,22.6513,0,0,0,0.918184
3804.521,9193.904,30.60887,30.62675,29.5076,35.6634,0,0,0,0.9310715
3601.637,10358.57,35.51926,34.01954,51.3013,55.7669,0,0,0,2.163388
3601.637,10358.57,5.986552,5.835378,44.0836,48.5019,0,0,0,0.6572335
3601.637,10273.06,9.420973,9.453989,43.7804,42.4795,0,0,0,0.7548083
3601.637,10299.12,2.477253,2.459489,43.8811,52.7788,0,0,0,2.677378
3601.637,10299.12,1.676835,1.72918,43.8811,52.7788,0,0,0,4.033378
3601.637,10356.19,17.35257,16.85835,36.5596,49.9201,0,0,0,2.92756
3601.637,10277.8,8.628668,8.659932,41.6971,48.6048,0,0,0,2.157292
3601.637,10277.8,11.64026,11.9555,41.6971,48.6048,0,0,0,2.131097
3601.637,10277.8,1.78295,1.592532,41.6971,48.6048,0,0,0,1.261255
3601.637,10289.64,5.047823,5.060331,29.5981,36.1345,0,0,0,2.227362
3797.519,9191.788,8.602556,8.56312,22.2985,26.2958,0,0,0,2.080294
3797.519,9191.788,22.26476,22.55185,22.2985,26.2958,0,0,0,1.617681
3805.397,9193.904,22.85962,22.72322,29.5076,35.6634,0,0,0,0.7919978
3806.274,9191.788,24.73895,23.66786,10.1413,11.1504,0,0,0,0.1686286
3806.274,9198.14,14.36426,14.52839,19.7189,19.6997,0,0,0,1.951805
3806.274,9200.258,30.51427,30.28515,19.7189,19.6997,0,0,0,0.4160868
4504.017,9183.326,12.3875,12.27941,20.7818,18.4908,0,0,0,1.743491
3601.637,10282.53,3.50174,3.53295,59.9728,55.4509,0,0,0,1.446285
3601.637,10282.53,2.790381,2.689316,59.9728,55.4509,0,0,0,2.963415
3601.637,10301.49,1.473395,1.359969,43.8811,52.7788,0,0,0,1.541287
3601.637,10289.64,8.771379,8.873474,29.2843,37.6163,0,0,0,2.482478
3601.637,10289.64,6.476656,6.046403,29.2843,37.6163,0,0,0,2.551294
3796.645,9198.14,10.57662,10.56637,20.514,20.3932,0,0,0,0.9091324
3823.843,9185.44,23.74365,23.78434,20.364,22.6513,0,0,0,0.740679
3601.637,10299.12,5.433369,5.670914,31.6586,35.3935,0,0,0,2.151545
3601.637,10382.45,1.859492,1.678583,34.0092,36.4899,0,0,0,2.652673
3601.637,10329.99,1.84044,1.878959,26.5935,35.9424,0,0,0,2.508468
3805.397,9202.377,25.33816,25.23559,22.2985,26.2958,0,0,0,1.044308
3811.536,9200.258,25.80057,25.64433,22.9364,23.6812,0,0,0,0.6015502
3601.637,10351.42,13.77302,13.90991,52.7276,58.1003,0,0,0,2.478585
3601.637,10351.42,8.644567,8.637252,52.7276,58.1003,0,0,0,3.177188
3801.894,9206.615,19.58781,19.58067,16.9604,15.3696,0,0,0,1.701938
3808.904,9210.856,13.64096,13.77035,20.514,20.3932,0,0,0,1.675856
