waveMin,waveMax,spectroFlux_r,spectroSynFlux_r,sn1_r,sn2_r,elodieBV,elodieTEff,elodieLogG,z
3601.637,10353.81,3.864414,3.849482,52.1487,65.0111,-0.199,9899,2.924,0.000233921
3601.637,10296.75,16.64924,16.23966,40.9034,49.9197,0.647,4949,1.32,0.0002356959
3822.962,9185.44,99.09946,99.14176,20.364,22.6513,0.486,5790,3.7,0.0003747845
3802.77,9191.788,390.6077,391.3172,21.5656,20.7815,0.6,5630,4.5,6.80852E-05
3601.637,10299.12,1.813844,1.844284,40.9034,49.9197,1.173,4662,2.05,0.0003860631
3810.658,9208.735,38.93054,38.79311,81.9167,99.3065,0,6000,4,0.0004208674
3601.637,10365.73,5.946516,5.721663,43.715,47.0035,1.226,4318,1.76,4.145757E-06
3815.048,9215.099,23.75055,23.66365,25.6119,23.6013,1.502,3717,4.89,6.569824E-05
3815.048,9215.099,83.2964,83.24691,25.6119,23.6013,0,6000,4,0.0002133724
3601.637,10358.57,5.278665,5.162057,70.5587,71.6294,0.588,5820,4.37,0.0006925761
3601.637,10299.12,44.22567,43.8389,70.5587,71.6294,1.474,3705,4.8,0.0007505121
3604.126,10384.84,3.808781,3.865518,51.2915,48.2148,1.173,4662,2.05,0.0001737329
3607.447,10384.84,6.925553,6.926621,51.2915,48.2148,0.18,6537,2.497,0.001114316
3609.94,10382.45,6.634575,6.641408,46.4106,54.2985,1.173,4662,2.05,4.726187E-05
3806.274,9202.377,50.93265,50.77258,22.2985,26.2958,0.621,5405,4.49,0.0003024705
3826.485,9206.615,9.814285,9.75739,73.2546,76.402,0.529,5784,4.14,0.000212892
3822.962,9206.615,7.671061,7.587616,73.2546,76.402,0.287,7134,3.863,0.0002367789
3823.843,9208.735,31.17708,30.92895,73.2546,76.402,0.692,5285,4.62,0.0002825313
3823.843,9206.615,9.468018,9.348914,73.2546,76.402,0,6000,4,0.0003107614
3830.893,9206.615,11.43401,11.31682,73.2546,76.402,0.863,4801,4.6,0.0004365006
3829.129,9206.615,60.35515,60.13935,73.2546,76.402,0.704,5320,4.49,0.0003748108
3828.247,9206.615,47.41196,47.19854,73.2546,76.402,0,6000,4,9.737993E-05
3809.781,9208.735,123.4562,123.9525,81.9167,99.3065,0.819,5169,4.43,0.000141978
3601.637,10368.12,6.695054,6.531395,41.6255,43.6556,1.474,3705,4.8,0.0003116132
3601.637,10377.67,2.492488,2.454644,43.715,47.0035,1.381,4066,1.43,0.0002101143
3803.645,9204.496,138.6705,138.7347,138.778,182.23,0.207,7518,4.242,0.0001946745
3812.414,9181.212,17.77335,17.46186,60.7536,79.4796,0.712,5613,4.11,0.0001941312
3815.048,9183.326,11.31247,11.34601,60.7536,79.4796,0.652,5455,4.34,0.000157599
3819.443,9183.326,6.254545,6.178843,60.7536,79.4796,0.811,5059,4.45,0.0002469186
3818.563,9183.326,23.41841,23.39716,60.7536,79.4796,0.732,5281,4.374,7.550468E-06
3818.563,9215.099,30.12339,30.18929,60.7536,79.4796,0.819,5169,4.43,0.000163801
3818.563,9215.099,18.04328,18.10149,60.7536,79.4796,0.811,5059,4.45,0.0001995913
3821.202,9215.099,39.45912,39.16733,60.7536,79.4796,0.811,5059,4.45,0.0002653998
3809.781,9181.212,12.73944,12.61709,60.7536,79.4796,1.15,4457,1.37,2.280651E-05
3812.414,9181.212,8.45542,8.38473,60.7536,79.4796,0.968,4575,2.89,0.0001779901
3601.637,10358.57,5.207627,5.173466,38.2037,47.0793,1.474,3705,4.8,0.0003208056
3601.637,10358.57,5.251005,5.171809,38.2037,47.0793,1.474,3705,4.8,6.621552E-05
3601.637,10380.06,4.528463,4.547312,47.034,45.6213,1.299,4395,2.11,3.024137E-05
